Camera_Id,ROI,Direction
2706,"[(316, 1073), (348, 944), (417, 757), (482, 597), (517, 471), (561, 377), (583, 317), (574, 283), (570, 268), (616, 263), (651, 266), (686, 285), (713, 310), (760, 363), (819, 406), (905, 467), (1010, 528), (1136, 613), (1294, 697), (1500, 819), (1793, 1018), (1898, 1072), (1199, 1076), (355, 1077)]",WOODLANDS
2706,"[(1879, 1065), (1608, 917), (1390, 788), (1177, 648), (994, 527), (879, 453), (792, 392), (747, 353), (718, 328), (706, 302), (792, 294), (873, 318), (992, 363), (1136, 399), (1333, 466), (1538, 522), (1739, 584), (1917, 624), (1913, 637), (1901, 1064)]",PIE
2707,"[(8, 844), (332, 610), (653, 448), (883, 307), (1064, 207), (1157, 151), (1227, 117), (1262, 80), (1258, 39), (1258, 7), (1152, 13), (1084, 16), (1050, 58), (925, 91), (836, 113), (715, 136), (552, 177), (381, 212), (233, 248), (7, 287), (5, 300)]",WOODLANDS
2707,"[(4, 867), (173, 743), (372, 621), (574, 505), (713, 418), (867, 316), (986, 241), (1107, 178), (1194, 127), (1250, 92), (1264, 69), (1264, 39), (1268, 15), (1376, 8), (1430, 64), (1538, 150), (1587, 278), (1635, 460), (1746, 674), (1806, 904), (1875, 1071), (8, 1064), (7, 887)]",PIE
2708,"[(435, 1), (450, 63), (500, 202), (579, 392), (712, 667), (853, 950), (924, 1077), (6, 1070), (4, 7)]",KJE
2708,"[(909, 1078), (752, 781), (611, 514), (521, 268), (459, 122), (426, 2), (561, 8), (736, 125), (995, 289), (1232, 455), (1605, 729), (1911, 964), (1907, 1073)]",WOODLANDS
2708,"[(1913, 1022), (1526, 709), (1251, 483), (1033, 328), (817, 177), (690, 103), (539, 7), (730, 1), (997, 56), (1354, 179), (1616, 302), (1918, 485), (1913, 529)]",PIE
3702,"[(1903, 895), (1526, 586), (1289, 402), (980, 217), (802, 120), (677, 63), (630, 29), (609, 7), (1, 2), (3, 1060), (853, 1070), (1903, 1067)]",AIRPORT
3702,"[(1910, 860), (1551, 598), (1187, 333), (961, 205), (816, 131), (698, 73), (662, 46), (612, 1), (1911, 11), (1908, 486), (1908, 873)]",CITY
3704,"[(5, 935), (187, 800), (438, 627), (597, 516), (788, 392), (910, 305), (1008, 249), (1089, 203), (1142, 170), (1170, 154), (1010, 120), (914, 139), (757, 195), (572, 240), (365, 304), (213, 349), (71, 408), (5, 428)]",CITY
3704,"[(4, 953), (230, 774), (438, 623), (616, 493), (772, 383), (890, 299), (992, 246), (1074, 198), (1129, 167), (1175, 139), (1190, 127), (1217, 114), (1253, 111), (1281, 123), (1330, 137), (1341, 179), (1325, 263), (1365, 420), (1436, 634), (1471, 813), (1541, 1075), (13, 1058)]",CHANGI
3705,"[(1256, 1070), (1098, 893), (957, 730), (827, 590), (726, 485), (623, 372), (528, 264), (458, 208), (403, 164), (323, 140), (252, 143), (215, 143), (178, 169), (132, 214), (82, 264), (174, 365), (273, 453), (287, 730), (345, 955), (358, 1075), (1237, 1073)]",XILIN AVE CHANGI COAST RD
3705,"[(1237, 1068), (1088, 904), (969, 781), (829, 621), (737, 511), (650, 402), (576, 318), (512, 244), (463, 181), (429, 135), (409, 97), (455, 101), (547, 129), (664, 153), (891, 220), (1130, 289), (1336, 381), (1563, 449), (1785, 551), (1913, 590), (1912, 1074), (1241, 1069)]",CITY
3705,"[(1906, 583), (1687, 500), (1421, 383), (1226, 330), (1026, 260), (864, 208), (746, 177), (646, 148), (588, 135), (663, 109), (782, 129), (945, 150), (1136, 177), (1320, 208), (1588, 260), (1764, 315), (1918, 375), (1910, 391), (1909, 624)]",AIRPORT
3793,"[(565, 1074), (488, 919), (427, 717), (373, 559), (344, 446), (321, 332), (300, 248), (281, 146), (261, 81), (252, 46), (317, 46), (380, 95), (453, 149), (580, 256), (744, 367), (939, 516), (1159, 694), (1488, 887), (1739, 1077), (602, 1076)]",CHANGI
3793,"[(1802, 1067), (1397, 824), (1213, 669), (1050, 569), (938, 490), (808, 393), (690, 315), (572, 242), (506, 189), (440, 149), (407, 121), (615, 112), (783, 154), (991, 236), (1171, 304), (1311, 363), (1530, 433), (1700, 490), (1912, 556), (1900, 1065), (1744, 1066)]",CITY
3795,"[(1507, 1067), (1351, 746), (1238, 569), (1153, 423), (1072, 302), (1000, 222), (980, 187), (960, 129), (907, 140), (851, 234), (797, 323), (687, 522), (603, 700), (528, 864), (440, 1075)]",AYE/CITY
3795,"[(1514, 1075), (1365, 822), (1281, 663), (1211, 544), (1134, 410), (1068, 306), (1033, 253), (1000, 219), (979, 183), (957, 160), (959, 134), (1096, 180), (1151, 227), (1299, 285), (1462, 288), (1646, 304), (1819, 294), (1918, 301), (1900, 540), (1893, 697), (1902, 880), (1914, 1058), (1901, 1070), (1503, 1073)]",MARINE PARADE
3796,"[(1626, 1069), (1474, 920), (1319, 757), (1201, 659), (1084, 555), (994, 477), (913, 402), (856, 351), (811, 304), (782, 273), (760, 243), (692, 235), (585, 254), (389, 380), (227, 484), (62, 548), (5, 580), (12, 1069), (251, 1074), (1592, 1078)]",CHANGI
3796,"[(1634, 1075), (1485, 957), (1318, 800), (1197, 677), (1102, 587), (1010, 499), (947, 439), (882, 372), (832, 325), (802, 296), (786, 268), (917, 252), (1044, 269), (1224, 361), (1409, 450), (1617, 559), (1797, 639), (1916, 699), (1906, 1071), (1744, 1072)]",AYE/CITY
